condition_name,experiment_type,seed,group,generation,alive_at_end,avg_fitness,best_fitness,genome_diversity,total_food_eaten,total_offspring,avg_energy
ratio_10pct,ratio_sweep,3192,control,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3192,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3192,control,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3192,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3192,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3192,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3192,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3192,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3329,control,0,2,0.6823,0,0.3212,103,1,110.0
ratio_10pct,ratio_sweep,3329,control,1,1,0.4703,0,0.0,32,0,103.0
ratio_10pct,ratio_sweep,3329,control,2,3,0.6175,0,0.3583,152,1,100.0
ratio_10pct,ratio_sweep,3329,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3329,control,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3329,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3329,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3329,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3329,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3329,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3466,control,0,2,0.629,0,0.2411,103,0,130.0
ratio_10pct,ratio_sweep,3466,control,1,1,0.6392,0,0.0,50,0,100.0
ratio_10pct,ratio_sweep,3466,control,2,1,0.6025,0,0.0,50,0,100.0
ratio_10pct,ratio_sweep,3466,control,3,3,0.695,0,0.3086,150,1,86.67
ratio_10pct,ratio_sweep,3466,control,4,1,0.7164,0,0.0,47,0,40.0
ratio_10pct,ratio_sweep,3466,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3466,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3466,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3466,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3466,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3603,control,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3603,control,1,1,0.6737,0,0.0,51,0,120.0
ratio_10pct,ratio_sweep,3603,control,2,2,0.5796,0,0.3961,94,0,40.0
ratio_10pct,ratio_sweep,3603,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3603,control,4,1,0.6637,0,0.0,50,0,100.0
ratio_10pct,ratio_sweep,3603,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3603,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3603,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3603,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3603,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3740,control,0,2,0.6394,0,0.1648,101,0,110.0
ratio_10pct,ratio_sweep,3740,control,1,2,0.5952,0,0.303,101,0,110.0
ratio_10pct,ratio_sweep,3740,control,2,1,0.6243,0,0.0,50,0,100.0
ratio_10pct,ratio_sweep,3740,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3740,control,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3740,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3740,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3740,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3740,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3740,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3877,control,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3877,control,1,1,0.697,0,0.0,50,0,88.0
ratio_10pct,ratio_sweep,3877,control,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3877,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3877,control,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3877,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3877,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3877,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3877,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,3877,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4014,control,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4014,control,1,1,0.7257,0,0.0,49,0,80.0
ratio_10pct,ratio_sweep,4014,control,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4014,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4014,control,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4014,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4014,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4014,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4014,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4014,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4151,control,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4151,control,1,1,0.5766,0,0.0,50,0,100.0
ratio_10pct,ratio_sweep,4151,control,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4151,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4151,control,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4151,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4151,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4151,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4151,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4151,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4288,control,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4288,control,1,1,0.6119,0,0.0,48,0,60.0
ratio_10pct,ratio_sweep,4288,control,2,2,0.7053,0,0.0633,97,1,84.5
ratio_10pct,ratio_sweep,4288,control,3,1,0.6272,0,0.0,43,0,55.0
ratio_10pct,ratio_sweep,4288,control,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4288,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4288,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4288,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4288,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4288,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4425,control,0,1,0.6268,0,0.0,49,1,40.0
ratio_10pct,ratio_sweep,4425,control,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4425,control,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4425,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4425,control,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4425,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4425,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4425,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4425,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4425,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4562,control,0,1,0.71,0,0.0,49,0,80.0
ratio_10pct,ratio_sweep,4562,control,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4562,control,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4562,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4562,control,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4562,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4562,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4562,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4562,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4562,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4699,control,0,1,0.7139,0,0.0,48,1,20.0
ratio_10pct,ratio_sweep,4699,control,1,2,0.6701,0,0.2383,101,1,90.0
ratio_10pct,ratio_sweep,4699,control,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4699,control,3,1,0.7496,0,0.0,50,0,100.0
ratio_10pct,ratio_sweep,4699,control,4,3,0.7328,0,0.1148,148,0,92.33
ratio_10pct,ratio_sweep,4699,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4699,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4699,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4699,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4699,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4836,control,0,1,0.5736,0,0.0,49,0,80.0
ratio_10pct,ratio_sweep,4836,control,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,4836,control,2,0,0,0,0,0,0,0
