condition_name,experiment_type,seed,selection_criteria,isolation_fraction,isolation_duration,isolation_frequency,no_return,num_generations,steps_per_generation,food_initial,food_max,ctrl_avg_fitness,treat_avg_fitness,fitness_impact,ctrl_alive_final,treat_alive_final,treat_extinct,ctrl_extinction_step,treat_extinction_step,ctrl_total_food,treat_total_food,food_reduction_pct,ctrl_diversity_final,treat_diversity_final,total_isolations,total_returns
ratio_20pct,ratio_sweep,1548,adventurousness,0.2,100,5,False,5,1000,,,0.26117999999999997,0.0,-0.26117999999999997,0,0,True,3000,360,203,0,100.0,0,0,432,224
ratio_20pct,ratio_sweep,1685,adventurousness,0.2,100,5,False,5,1000,,,0.39538,0.0,-0.39538,0,0,True,3960,370,147,0,100.0,0,0,390,173
ratio_20pct,ratio_sweep,1822,adventurousness,0.2,100,5,False,5,1000,,,0.2827,0.0,-0.2827,0,0,True,993,480,135,0,100.0,0,0,367,155
ratio_20pct,ratio_sweep,1959,adventurousness,0.2,100,5,False,5,1000,,,0.40269999999999995,0.0,-0.40269999999999995,0,0,True,1760,460,310,0,100.0,0,0,432,210
ratio_20pct,ratio_sweep,2096,adventurousness,0.2,100,5,False,5,1000,,,0.1356,0.0,-0.1356,0,0,True,1660,647,103,0,100.0,0,0,408,207
ratio_20pct,ratio_sweep,2233,adventurousness,0.2,100,5,False,5,1000,,,0.13782,0.0,-0.13782,0,0,True,1672,560,52,0,100.0,0,0,450,240
ratio_20pct,ratio_sweep,2370,adventurousness,0.2,100,5,False,5,1000,,,0.24778000000000003,0.0,-0.24778000000000003,0,0,True,2000,420,148,0,100.0,0,0,416,192
ratio_20pct,ratio_sweep,2507,adventurousness,0.2,100,5,False,5,1000,,,0.1326,0.0,-0.1326,0,0,True,1880,500,50,0,100.0,0,0,403,177
ratio_20pct,ratio_sweep,2644,adventurousness,0.2,100,5,False,5,1000,,,0.23815999999999998,0.0,-0.23815999999999998,0,0,True,2580,380,99,0,100.0,0,0,408,191
ratio_20pct,ratio_sweep,2781,adventurousness,0.2,100,5,False,5,1000,,,0.25398,0.0,-0.25398,0,0,True,2846,580,100,0,100.0,0,0,400,175
ratio_20pct,ratio_sweep,2918,adventurousness,0.2,100,5,False,5,1000,,,0.13455999999999999,0.0,-0.13455999999999999,0,0,True,1500,480,152,0,100.0,0,0,442,235
ratio_20pct,ratio_sweep,3055,adventurousness,0.2,100,5,False,5,1000,,,0.15808,0.0,-0.15808,0,0,True,1829,990,50,0,100.0,0,0,465,241
ratio_20pct,ratio_sweep,3192,adventurousness,0.2,100,5,False,5,1000,,,0.11388000000000001,0.0,-0.11388000000000001,0,0,True,520,540,54,0,100.0,0,0,416,203
ratio_20pct,ratio_sweep,3329,adventurousness,0.2,100,5,False,5,1000,,,0.35402000000000006,0.0,-0.35402000000000006,0,0,True,3720,420,287,0,100.0,0,0,427,218
ratio_20pct,ratio_sweep,3466,adventurousness,0.2,100,5,False,5,1000,,,0.65642,0.0,-0.65642,1,0,True,,440,400,0,100.0,0.0,0,368,143
ratio_20pct,ratio_sweep,3603,adventurousness,0.2,100,5,False,5,1000,,,0.38339999999999996,0.0,-0.38339999999999996,1,0,True,940,360,195,0,100.0,0.0,0,418,203
