condition_name,experiment_type,n_seeds,ctrl_fitness_mean,ctrl_fitness_std,treat_fitness_mean,treat_fitness_std,fitness_impact_mean,fitness_impact_std,fitness_impact_ci95,food_reduction_mean,food_reduction_std,extinction_rate,extinction_step_mean,extinction_step_std
ratio_10pct,ratio_sweep,30,0.2728,0.1655,0.0037,0.0203,-0.2691,0.1699,0.0608,95.178,19.737,1.0,485.5667,100.8504
ratio_20pct,ratio_sweep,30,0.2766,0.1603,0.0,0.0,-0.2766,0.1603,0.0573,100.0,0.0,1.0,475.9,140.4204
ratio_30pct,ratio_sweep,30,0.2728,0.1655,0.0038,0.0211,-0.269,0.1637,0.0586,96.1613,18.3714,1.0,427.3667,81.4974
ratio_5pct,ratio_sweep,30,0.2728,0.1655,0.0,0.0,-0.2728,0.1655,0.0592,96.6667,18.2574,1.0,484.0,96.9326
