condition_name,experiment_type,n_seeds,ctrl_fitness_mean,ctrl_fitness_std,treat_fitness_mean,treat_fitness_std,fitness_impact_mean,fitness_impact_std,fitness_impact_ci95,food_reduction_mean,food_reduction_std,extinction_rate,extinction_step_mean,extinction_step_std
ratio_10pct,ratio_sweep,30,0.2727,0.1658,0.3335,0.2031,0.0608,0.264,0.0945,-107.5736,208.5845,0.9,2150.6667,1196.7428
ratio_20pct,ratio_sweep,30,0.2589,0.1785,0.4117,0.1762,0.1528,0.1876,0.0671,-222.6326,386.3475,0.8,3058.625,1272.7983
ratio_30pct,ratio_sweep,30,0.2589,0.1785,0.5313,0.138,0.2725,0.2106,0.0754,-425.5008,451.9367,0.5333,3381.5,1334.1547
ratio_5pct,ratio_sweep,30,0.2638,0.177,0.2755,0.1636,0.0117,0.237,0.0848,-80.3088,194.5828,0.9667,2186.2069,1145.7578
