condition_name,experiment_type,seed,selection_criteria,isolation_fraction,isolation_duration,isolation_frequency,no_return,num_generations,steps_per_generation,food_initial,food_max,ctrl_avg_fitness,treat_avg_fitness,fitness_impact,ctrl_alive_final,treat_alive_final,treat_extinct,ctrl_extinction_step,treat_extinction_step,ctrl_total_food,treat_total_food,food_reduction_pct,ctrl_diversity_final,treat_diversity_final,total_isolations,total_returns
ratio_20pct,ratio_sweep,1274,adventurousness,0.2,50,50,False,5,1000,,,0.58016,0.38514000000000004,-0.19501999999999997,1,0,True,1740,3937,301,298,1.0,0.0,0,245,226
ratio_20pct,ratio_sweep,1411,adventurousness,0.2,50,50,False,5,1000,,,0.39215999999999995,0.12034,-0.27181999999999995,1,0,True,860,1957,194,89,54.12,0.0,0,251,247
ratio_20pct,ratio_sweep,1548,adventurousness,0.2,50,50,False,5,1000,,,0.26117999999999997,0.40508,0.14390000000000003,0,0,True,3000,2984,203,333,-64.04,0,0,291,284
ratio_20pct,ratio_sweep,1685,adventurousness,0.2,50,50,False,5,1000,,,0.39538,0.27102000000000004,-0.12435999999999997,0,0,True,3960,1995,147,132,10.2,0,0,211,205
ratio_20pct,ratio_sweep,1822,adventurousness,0.2,50,50,False,5,1000,,,0.13324,0.2424,0.10916000000000001,0,0,True,993,1971,50,229,-358.0,0,0,284,273
ratio_20pct,ratio_sweep,1959,adventurousness,0.2,50,50,False,5,1000,,,0.40269999999999995,0.6181800000000001,0.21548000000000012,0,2,False,1760,,310,359,-15.81,0,0.1639,335,326
ratio_20pct,ratio_sweep,2096,adventurousness,0.2,50,50,False,5,1000,,,0.1356,0.52358,0.38798000000000005,0,0,True,1660,4782,103,311,-201.94,0,0,249,238
ratio_20pct,ratio_sweep,2233,adventurousness,0.2,50,50,False,5,1000,,,0.13782,0.0,-0.13782,0,0,True,1672,940,52,0,100.0,0,0,265,248
ratio_20pct,ratio_sweep,2370,adventurousness,0.2,50,50,False,5,1000,,,0.24778000000000003,0.51776,0.26998,0,0,True,2000,4929,148,410,-177.03,0,0,344,339
ratio_20pct,ratio_sweep,2507,adventurousness,0.2,50,50,False,5,1000,,,0.1326,0.35824,0.22564,0,0,True,1880,3854,50,266,-432.0,0,0,241,228
ratio_20pct,ratio_sweep,2644,adventurousness,0.2,50,50,False,5,1000,,,0.23815999999999998,0.37728,0.13912000000000002,0,2,True,2580,825,99,346,-249.49,0,0.2178,284,278
ratio_20pct,ratio_sweep,2781,adventurousness,0.2,50,50,False,5,1000,,,0.25398,0.37048,0.11649999999999999,0,0,True,2846,3805,100,230,-130.0,0,0,253,244
ratio_20pct,ratio_sweep,2918,adventurousness,0.2,50,50,False,5,1000,,,0.13455999999999999,0.36412,0.22956000000000001,0,0,True,1500,3990,152,161,-5.92,0,0,276,264
ratio_20pct,ratio_sweep,3055,adventurousness,0.2,50,50,False,5,1000,,,0.15808,0.52904,0.37095999999999996,0,0,True,1829,4600,50,289,-478.0,0,0,263,246
ratio_20pct,ratio_sweep,3192,adventurousness,0.2,50,50,False,5,1000,,,0.11648,0.35636,0.23988,0,1,True,520,2769,50,317,-534.0,0,0.0,307,286
ratio_20pct,ratio_sweep,3329,adventurousness,0.2,50,50,False,5,1000,,,0.35402000000000006,0.54352,0.18949999999999995,0,1,True,3720,2960,287,859,-199.3,0,0.0,340,328
ratio_20pct,ratio_sweep,3466,adventurousness,0.2,50,50,False,5,1000,,,0.65642,0.71282,0.056400000000000006,1,2,False,,,400,352,12.0,0.0,0.0614,246,234
ratio_20pct,ratio_sweep,3603,adventurousness,0.2,50,50,False,5,1000,,,0.0,0.39048,0.39048,0,0,True,940,972,0,113,0.0,0,0,261,253
ratio_20pct,ratio_sweep,3740,adventurousness,0.2,50,50,False,5,1000,,,0.37177999999999994,0.53948,0.16770000000000002,0,0,True,3820,4945,252,695,-175.79,0,0,321,315
ratio_20pct,ratio_sweep,3877,adventurousness,0.2,50,50,False,5,1000,,,0.0,0.11084000000000001,0.11084000000000001,0,0,True,720,1904,0,84,0.0,0,0,221,208
ratio_20pct,ratio_sweep,4014,adventurousness,0.2,50,50,False,5,1000,,,0.0,0.38528,0.38528,0,0,True,892,3745,0,212,0.0,0,0,264,258
ratio_20pct,ratio_sweep,4151,adventurousness,0.2,50,50,False,5,1000,,,0.39196,0.24530000000000002,-0.14665999999999996,0,0,True,980,2980,203,176,13.3,0,0,264,259
ratio_20pct,ratio_sweep,4288,adventurousness,0.2,50,50,False,5,1000,,,0.12934,0.39064,0.2613,0,0,True,700,3904,48,614,-1179.17,0,0,306,295
ratio_20pct,ratio_sweep,4425,adventurousness,0.2,50,50,False,5,1000,,,0.12536,0.23636,0.11099999999999999,0,0,True,1630,2881,49,126,-157.14,0,0,292,279
ratio_20pct,ratio_sweep,4562,adventurousness,0.2,50,50,False,5,1000,,,0.142,0.27768000000000004,0.13568000000000005,0,0,True,1768,1900,49,93,-89.8,0,0,277,268
ratio_20pct,ratio_sweep,4699,adventurousness,0.2,50,50,False,5,1000,,,0.57328,0.6359999999999999,0.06271999999999989,3,2,False,2880,,347,703,-102.59,0.1148,0.2665,284,277
ratio_20pct,ratio_sweep,4836,adventurousness,0.2,50,50,False,5,1000,,,0.11472,0.63846,0.52374,0,7,False,1834,,49,915,-1767.35,0,0.2597,355,350
ratio_20pct,ratio_sweep,4973,adventurousness,0.2,50,50,False,5,1000,,,0.25726,0.6149399999999999,0.35767999999999994,0,7,False,1840,,162,854,-427.16,0,0.1621,325,321
ratio_30pct,ratio_sweep,1000,adventurousness,0.3,50,50,False,5,1000,,,0.51122,0.70494,0.19372,2,9,False,3974,,355,1492,-320.28,0.2367,0.2171,571,551
ratio_30pct,ratio_sweep,1137,adventurousness,0.3,50,50,False,5,1000,,,0.41875999999999997,0.49284,0.07408000000000003,0,0,True,2870,4816,142,519,-265.49,0,0,418,390
ratio_30pct,ratio_sweep,1274,adventurousness,0.3,50,50,False,5,1000,,,0.58016,0.37328,-0.20688,1,1,True,1740,1725,301,183,39.2,0.0,0.0,331,309
ratio_30pct,ratio_sweep,1411,adventurousness,0.3,50,50,False,5,1000,,,0.39215999999999995,0.5362,0.14404000000000006,1,7,True,860,3985,194,943,-386.08,0.0,0.2491,547,523
ratio_30pct,ratio_sweep,1548,adventurousness,0.3,50,50,False,5,1000,,,0.26117999999999997,0.6100199999999999,0.34883999999999993,0,9,False,3000,,203,904,-345.32,0,0.0601,489,466
ratio_30pct,ratio_sweep,1685,adventurousness,0.3,50,50,False,5,1000,,,0.39538,0.4263,0.030920000000000003,0,2,True,3960,1984,147,377,-156.46,0,0.14,408,386
ratio_30pct,ratio_sweep,1822,adventurousness,0.3,50,50,False,5,1000,,,0.13324,0.63392,0.50068,0,1,False,993,,50,328,-556.0,0,0.0,478,458
ratio_30pct,ratio_sweep,1959,adventurousness,0.3,50,50,False,5,1000,,,0.40269999999999995,0.6432,0.24050000000000005,0,3,False,1760,,310,657,-111.94,0,0.1895,536,524
ratio_30pct,ratio_sweep,2096,adventurousness,0.3,50,50,False,5,1000,,,0.1356,0.54806,0.41246,0,0,True,1660,4956,103,470,-356.31,0,0,453,435
ratio_30pct,ratio_sweep,2233,adventurousness,0.3,50,50,False,5,1000,,,0.13782,0.37501999999999996,0.23719999999999997,0,0,True,1672,3884,52,343,-559.62,0,0,437,414
ratio_30pct,ratio_sweep,2370,adventurousness,0.3,50,50,False,5,1000,,,0.24778000000000003,0.66512,0.41734000000000004,0,2,False,2000,,148,469,-216.89,0,0.0031,439,431
ratio_30pct,ratio_sweep,2507,adventurousness,0.3,50,50,False,5,1000,,,0.1326,0.11961999999999999,-0.012980000000000005,0,0,True,1880,967,50,85,-70.0,0,0,416,399
ratio_30pct,ratio_sweep,2644,adventurousness,0.3,50,50,False,5,1000,,,0.23815999999999998,0.6848599999999999,0.44669999999999993,0,1,False,2580,,99,552,-457.58,0,0.0,400,383
ratio_30pct,ratio_sweep,2781,adventurousness,0.3,50,50,False,5,1000,,,0.25398,0.39454,0.14056000000000002,0,0,True,2846,3825,100,179,-79.0,0,0,336,317
ratio_30pct,ratio_sweep,2918,adventurousness,0.3,50,50,False,5,1000,,,0.13455999999999999,0.39142,0.25686,0,0,True,1500,2896,152,401,-163.82,0,0,424,398
ratio_30pct,ratio_sweep,3055,adventurousness,0.3,50,50,False,5,1000,,,0.15808,0.66602,0.50794,0,3,False,1829,,50,608,-1116.0,0,0.2978,457,439
ratio_30pct,ratio_sweep,3192,adventurousness,0.3,50,50,False,5,1000,,,0.11648,0.6098800000000001,0.49340000000000006,0,2,False,520,,50,906,-1712.0,0,0.3205,475,458
ratio_30pct,ratio_sweep,3329,adventurousness,0.3,50,50,False,5,1000,,,0.35402000000000006,0.70186,0.34784,0,1,False,3720,,287,880,-206.62,0,0.0,484,465
ratio_30pct,ratio_sweep,3466,adventurousness,0.3,50,50,False,5,1000,,,0.65642,0.38752000000000003,-0.2689,1,0,True,,1982,400,214,46.5,0.0,0,370,341
ratio_30pct,ratio_sweep,3603,adventurousness,0.3,50,50,False,5,1000,,,0.0,0.49076,0.49076,0,0,True,940,4940,0,784,0.0,0,0,480,460
